full_address,house_number,house_number_suffix,street_predirection,street_name,street_type,address_postdirection,city,state,zipcode,latitude,longitude,precinct_portion_id
1132 WILLARD ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
207 W HIGH ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAO
331 E BARTLOW ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
103 E HIGH ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAO
319 S SQUIRE ST,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
48 SUNNYDALE ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
945 KENILWORTH AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
301 E NORTH ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
165 EDGERTON ST,,,,,,,HAMLER,OH,43524,,,35-P-AAW
440 N VINE ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
319 BROWNELL ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
1115 KENILWORTH AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
1130 W RIVERVIEW AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
4477 US HIGHWAY 6,,,,,,,MCCLURE,OH,43534,,,35-P-AAK
645 MARION ST,,,,,,,HAMLER,OH,43524,,,35-P-AAW
255 WEST ST,,,,,,,MCCLURE,OH,43534,,,35-P-AAK
225 BLAINE ST,,,,,,,HAMLER,OH,43524,,,35-P-AAW
731 STRONG ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
925 N HARMONY DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
755 W WASHINGTON ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
2427 GLEN ARBORS DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
1153 WOODLAWN AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
425 EDGERTON ST,,,,,,,HAMLER,OH,43524,,,35-P-AAW
1065 DODD ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
17404 US HIGHWAY 6,,,,,,,NAPOLEON,OH,43545,,,35-P-ABB
137 W MAUMEE AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
933 N PERRY ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
383 INDEPENDENCE CT,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
517 HIGH ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
2417 KENJAMES CT,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
106 HICKORY ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
1325 GLENWOOD AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
901 CLAIRMONT AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
1165 BECCA LN,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
930 WESTCHESTER AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
115 LEE AVE,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
180 GLENBROOK CT,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
120 E MAUMEE AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
401 N PLEASANTVIEW DR,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
539 FOURTH ST,,,,,,,HAMLER,OH,43524,,,35-P-AAW
340 MARION ST,,,,,,,HAMLER,OH,43524,,,35-P-AAW
705 STRONG ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
140 DEROME DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
1234 GLENWOOD AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
419 SHEFFIELD AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
1045 LYNNE AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
1227 OAKWOOD AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
907 OAKWOOD AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
331 HAMILTON ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
1005 WOODLAWN AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
332 WALNUT ST,,,,,,,RIDGEVILLE CORNERS,OH,43555,,,35-P-ABE
210 W MAIN ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
218 E CHERRY ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
675 W MAUMEE AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
1045 FAIRVIEW DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
101 E BARNES AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
190 THOMAS AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
617 WELSTED ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
830 CRIPPLE CREEK CT,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
222 CHICAGO AVE,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
430 CAMBRIDGE ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
1320 OHIO ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
202 W CHERRY ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
308 STEARNS AVE,,,,,,,DESHLER,OH,43516,,,35-P-AAL
211 YEAGER ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
204 W SCHOOL ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAO
105 GLENWOOD AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
415 HALEY ST,,,,,,,MCCLURE,OH,43534,,,35-P-AAK
334 FILMORE ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
121 BRADFORD AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
210 MAUMEE LN,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
409 E BARTLOW ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
415 SHEFFIELD AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
230 DEPOT ST,,,,,,,MCCLURE,OH,43534,,,35-P-AAK
309 KAUFMAN ST,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
1126 WESTMONT AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
1065 CLAIRMONT AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
1079 DODD ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
700 FIRST ST,,,,,,,RIDGEVILLE CORNERS,OH,43555,,,35-P-ABE
701 E WATER ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
633 FIRST ST,,,,,,,RIDGEVILLE CORNERS,OH,43555,,,35-P-ABE
113 JAHNS RD,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
830 W GRACEWAY DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
452 S WILHELM ST,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
105 DRY CREEK CT,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
1118 WILLARD ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
1012 W WASHINGTON ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
905 CHESTERFIELD DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
422 CHERRY ST,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
160 S WASHINGTON ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
1070 KENILWORTH AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
1141 OAKWOOD AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
616 HOBSON ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
616 LEONARD ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
555 BECKLEE DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
1220 DETROIT AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
765 CRIPPLE CREEK CT,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
157 BRADFORD AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
90 CEDARBROOK AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
1420 W RIVERVIEW AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
535 MARION ST,,,,,,,HAMLER,OH,43524,,,35-P-AAW
1310 OHIO ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
105 E WABASH ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
2473 GLEN ARBORS DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
389 INDEPENDENCE CT,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
321 CHERRY ST,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
213 E HIGH ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAO
940 W MAIN ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
1439 OAKWOOD AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
315 WEST ST,,,,,,,MCCLURE,OH,43534,,,35-P-AAK
107 MARY ANN ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
1940 US HIGHWAY 6,,,,,,,MCCLURE,OH,43534,,,35-P-AAK
440 S WILHELM ST,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
40 BORDEAUX DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
316 N BRAYER ST,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
1173 INDIANA AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
3705 US HIGHWAY 6,,,,,,,MCCLURE,OH,43534,,,35-P-AAK
912 LUMBARD ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
321 E MAPLE ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
630 STOUT ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
110 S TURKEYFOOT AVE,,,,,,,MALINTA,OH,43535,,,35-P-AAY
20304 US HIGHWAY 6,,,,,,,RIDGEVILLE CORNERS,OH,43555,,,35-P-ABE
712 STRONG ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
140 HUBBARD ST,,,,,,,HAMLER,OH,43524,,,35-P-AAW
239 W WALNUT ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
225 BRIARCLIFF DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
401 N PARK ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
229 STEARNS AVE,,,,,,,DESHLER,OH,43516,,,35-P-AAL
304 W MAPLE ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
1060 HIGHLAND AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
291 PATRICIA AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
103 N PLEASANTVIEW DR,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
120 DEROME DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
1106 WESTMONT AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
207 E FRONT ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
210 THOMAS AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
306 CHURCH ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAO
420 CAMBRIDGE ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
1442 OAKDALE DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
610 HOBSON ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
1124 MICHIGAN AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
640 MARION ST,,,,,,,HAMLER,OH,43524,,,35-P-AAW
867 E GRACEWAY DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
330 W MULBERRY ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
210 BEAVER ST,,,,,,,MCCLURE,OH,43534,,,35-P-AAK
22 N WILHELM ST,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
342 E MAPLE ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
1452 OHIO ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
415 BRIARCLIFF DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
220 N LIND ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
218 KOLBE ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
643 W CLINTON ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
20388 US HIGHWAY 6,,,,,,,NAPOLEON,OH,43545,,,35-P-ABE
900 DAGGETT AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
1136 KENILWORTH AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
2445 GLEN ARBORS DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
103 MUNTZ ST,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
34 SUNNYDALE ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
2419 KENJAMES CT,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
5893 US HIGHWAY 6,,,,,,,MCCLURE,OH,43534,,,35-P-AAK
1040 BECCA LN,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
3 PARK LN,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
340 W CLINTON ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
1500 WILLIAMSBURG DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
172 FAIR ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
511 W MAUMEE AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
1255 DODD ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
212 N BRAYER ST,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
507 W MAIN ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
1050 CLAIRMONT AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
140 1/2 E MAIN ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
1025 CLAIRMONT AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
1710 W RIVERVIEW AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
1044 WILLARD ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
624 E WASHINGTON ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
421 MELROSE PL,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
710 W MAIN ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
309 KEYSER ST,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
9 LAKEVIEW DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
1030 CLAIRMONT AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
105 JAMES ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAO
635 BUCKEYE LN,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
339 E NORTH ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
435 S FIRST ST,,,,,,,HAMLER,OH,43524,,,35-P-AAW
1122 W RIVERVIEW AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
9617 HENRY LUCAS CO RD,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-ABF
104 WALNUT ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
1479 OAKWOOD AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
130 CARL ST,,,,,,,MCCLURE,OH,43534,,,35-P-AAK
2408 KENJAMES CT,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
1020 REYNOLDS ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
401 E MAPLE ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
748 STRONG ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
1008 W PATRIOT DR,,,,,,,DESHLER,OH,43516,,,35-P-AAL
759 WALNUT ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-ABF
307 N HENRY ST,,,,,,,MALINTA,OH,43535,,,35-P-AAY
421 E NORTH ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
1010 FAIRVIEW DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
110 E CHERRY ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
411 W CLINTON ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
928 N PERRY ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
1140 HIGHLAND AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
904 HOBSON ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
730 STRONG ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
945 WESTMONT AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
322 MAUMEE LN,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
18 SUTHERLAND AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
1077 REYNOLDS ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
102 BROWNELL ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
445 S EAST ST,,,,,,,MCCLURE,OH,43534,,,35-P-AAK
130 E MAIN ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
114 E CHERRY ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
323 N KEYSER ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
740 CRIPPLE CREEK CT,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
470 CAMBRIDGE ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
204 N BRAYER ST,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
242 PATRICIA AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
717 1/2 W MAIN ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
230 GLENWOOD AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
212 UNION ST,,,,,,,MCCLURE,OH,43534,,,35-P-AAK
105 GARFIELD ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
1020 WOODLAWN AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
852 N SCOTT ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
1116 SYCAMORE DR,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
750 PARK ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
210 W CHERRY ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
451 RANDOLPH ST,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
401 E BARTLOW ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
222 GLENWOOD AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
520 N KEYSER ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
106 W HIGH ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAO
402 W MAIN ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
525 BELTON ST,,,,,,,HAMLER,OH,43524,,,35-P-AAW
208 E WABASH ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
588 W MAUMEE AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
112 FRAZIER AVE,,,,,,,HOLGATE,OH,43527,,,35-P-AAS
831 WELSTED ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
130 1/2 W MAUMEE AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
505 W CLINTON ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
215 FIFTH ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
622 S PERRY ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
1 MEADOWLARK LN,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
1076 CLAIRMONT AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
380 INDEPENDENCE CT,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
311 E MAPLE ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
205 W BARNES AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
483 INDEPENDENCE CT,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
318 W MAUMEE AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
540 BUCKEYE LN,,,,,,,NAPOLEON,OH,43545,,,35-P-AAI
1455 GLENWOOD AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
1068 DODD ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
607 BROADMOOR AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
511 FILMORE ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
858 1/2 MONROE ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
816 W WASHINGTON ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAC
208 N PLEASANTVIEW DR,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
200 S FIRST ST,,,,,,,HAMLER,OH,43524,,,35-P-AAW
406 FAIR ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
199 THOMAS AVE,,,,,,,NAPOLEON,OH,43545,,,35-P-AAE
201 FREASE ST,,,,,,,MALINTA,OH,43535,,,35-P-AAY
248 KOLBE ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAB
533 W MAIN ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAA
254 N FIRST ST,,,,,,,HAMLER,OH,43524,,,35-P-AAW
214 BROWNELL ST,,,,,,,NAPOLEON,OH,43545,,,35-P-AAH
511 W MAIN ST,,,,,,,DESHLER,OH,43516,,,35-P-AAL
106 MARY ANN ST,,,,,,,LIBERTY CENTER,OH,43532,,,35-P-AAV
